Word,Frequency
trąbami,1
wschody,1
towarzysze,7
wideta,2
jastrzębi,1
snycerza,1
zniecierpliwiony,2
zamknę,1
dziurawił,1
sprowadza,1
palił,4
snycerze,1
przechylonymi,1
podszepnęło,1
ubrać,1
towarzysza,2
opłynąć,1
samotne,3
wychodził,1
krótko,6
rzekła,32
obłok,1
otrzymanych,1
straż,7
wyszoruj,1
dowód,2
razami,1
krótki,3
tysiączne,1
otwartych,3
częściej,2
towarzyszy,3
zmuszone,1
towarzyszu,1
przerasta,1
butów,2
zawrzeć,1
przezywali,1
kawalerii,3
oznajmił,2
oparciu,1
pajacykowi,1
silniej,5
kawaleria,1
konieczność,1
głowy,39
rzeźbiony,2
trumnie,2
zgiń,1
kąta,2
ciągnęli,2
ubrał,1
powodzeniu,1
zmuszony,1
paradzie,3
zadrżała,1
odsyłał,1
głowa,8
zejdziemy,1
samotny,1
zadumana,2
zwycięstw,2
alpejska,1
drzewami,3
budynek,2
opuszczam,1
oficerowie,3
maja,1
wielkoludzieojcu,1
robettim,1
dosiadał,1
kwadratową,1
pozdrowiła,1
mógłbym,4
mamo,15
naszych,10
stolarz,1
jakbym,8
siłami,1
szalupy,2
straganie,1
tygodniu,3
wieczornej,5
złości,1
mama,49
kosztował,1
prześlicznych,1
porzucić,1
mali,6
postępowanie,1
zamykają,2
zbiegają,1
tygodnia,1
dwa,59
szalupa,2
szczerością,1
kromeczkę,1
puszczę,1
czasach,3
biskupi,1
mala,1
tygodnie,1
dajcie,3
wypadła,1
kościołów,2
wypadło,2
pachną,1
zapracuję,1
zbierali,1
cierpieć,4
szczepów,1
mają,31
podłożył,2
twej,10
laponii,1
paznokcie,1
kiwając,1
zasłabła,1
pięknym,7
wyżynie,1
florencja,1
florencji,2
mamy,22
florencjo,1
stan,2
dym,3
mularzem,1
siedemdziesiąt,2
jeżeli,4
podniosłym,1
przysłała,1
wyjąkał,1
kwadratowej,1
wykładał,1
wysunął,1
goitą,1
pajacyk,5
ukrzywdzić,1
zobaczyło,1
starego,8
ułożonych,2
wyskoczył,2
niemal,5
kierunku,2
podpowiada,1
znajduje,3
gmachem,1
powiść,1
dyrektorowi,2
mapa,1
pisała,2
słuchali,4
bukietów,1
pagód,1
rękawami,4
wspiera,1
masz,32
masy,1
przewodnika,1
trąb,4
żołnierzach,1
żałobnym,1
interesy,2
stać,8
mamę,4
interesu,1
litościwy,1
jedwabne,1
puszczy,1
swojej,41
schodkach,1
olbrzymów,1
przybycia,1
suplikę,1
szalupę,2
dziedzińczyk,1
stworzenia,1
pobojowisko,1
zeszłego,4
murarz,5
czyjegoś,1
łyżkami,1
czucie,2
mamą,8
podyktuje,1
iznowu,1
czcigodną,1
dziękując,1
matczyna,1
zarządzenie,1
stań,1
stał,56
póki,14
dajże,2
bezsennych,1
listopad,1
naśmiewającego,1
zgnieciona,1
piekielny,2
statek,2
nazywa,14
jakbyś,3
podtrzymując,2
zagranicznych,1
poprawę,1
spotka,1
słupów,1
wychudłą,1
trwało,1
przechodzące,2
martwą,1
europy,1
usiąść,1
trwały,1
przypomniały,1
sycylijczyk,3
córeczka,1
trwała,4
ogłuszony,2
przypomniało,3
krewniakowi,1
dobędzie,1
wydało,7
kaplica,1
żyjąc,1
kwiat,2
jużeście,1
skaleczonej,1
korki,1
pysznił,1
tracąc,1
miłego,3
wydały,1
bawi,2
prostego,1
puścić,2
otuchy,6
uwierzenia,1
ech,3
robaczki,1
wlazł,1
paniczu,2
rękawach,1
kaplicy,2
rokrocznie,1
słuchać,3
wydała,6
pękała,1
supliki,1
głodu,1
cierpiał,4
przemawiał,2
triumfatora,1
ściągnąłbym,1
panicze,1
liznąć,1
panicza,1
okazało,2
martwi,4
pragnęłabym,1
pękało,1
znalazło,2
sobie,160
czereśni,1
twoi,3
pradawne,1
klęczało,1
ujrzawszy,1
czterdziestym,1
węzeł,1
pysznić,1
tatusiowej,1
straconym,1
niemych,1
puścił,7
zrazu,4
słuchał,7
ważnych,1
stoi,6
staremu,1
bandaża,1
znalazła,2
odzieniu,1
bezkształtne,1
nieuków,1
robotnikach,1
przechodzącą,1
trafiła,1
wzgórz,1
odzienie,1
artyleryjskich,1
brzuszyny,1
trele,1
skrzypieniem,1
spostrzeże,2
tatuś,2
usypiała,1
młoda,4
odpowiadając,3
zboża,1
pochylają,1
gorszych,1
młode,1
dopiekającej,1
robotnikami,1
wykrzywienia,1
krótkim,4
odprowadzać,1
czcią,3
symfonię,1
srodze,2
odezwała,1
przywiedzioną,1
podjazdu,2
młodo,2
odnosi,1
stos,1
nietęgo,1
nabawił,1
świt,2
padnij,1
rychło,1
trafił,4
młody,4
jarmark,1
zaręczyny,1
wymawiają,1
osiem,10
bagnetom,1
trącali,1
gnieździe,1
atramentu,1
uczciwego,1
obchodzę,1
wróciłem,2
dziecięcego,1
przejeżdżają,1
trafię,2
galopem,4
naigrawali,1
garibaldiego,2
powięzie,1
machającego,1
krótkie,3
czcił,1
kicha,1
gorączką,1
wyrzeka,1
smutny,12
trącać,1
ocienionych,1
spojrzeniem,5
siwiuteńki,1
tchnąć,2
dało,3
odpowiedzi,3
wściekłym,1
przyjdziesz,2
uważajcie,1
myśląc,10
daremnym,1
obchodzi,3
zważasz,1
gorejące,1
otworzyć,2
zbiorowisko,1
futryny,1
rabuś,2
przechodzą,3
dała,8
potężnymi,1
trawach,1
dowiedziawszy,2
tchnął,1
pożywieniu,1
spór,2
gorączka,1
chłopcami,3
gorączki,1
kubkami,1
nieprzyjacielskich,1
moimi,3
schodów,6
spocząć,2
obrazów,1
smutną,5
stojącą,1
wyprawiali,1
pożywienia,1
słuchaj,10
utykał,1
wypisano,1
dworki,1
grupę,1
wytrwanie,1
śmiertelną,4
pożywienie,1
tęgich,1
pulpit,1
strumieniach,1
przydrożnego,1
prześpisz,1
znajomego,1
prowadzili,1
gości,2
piśmie,1
poszukiwał,1
klęczy,1
kwestora,1
formę,1
stojące,1
poszukiwań,1
papierową,1
dałeś,1
przechodzi,4
bersalierów,1
stojący,3
przekupnia,2
gwałtem,3
słuchają,1
tamtejszych,1
nadeszła,1
odprowadzić,4
forti,1
owijały,1
nazwisk,3
zjednoczenia,1
tworzą,1
synowskiej,1
trącił,6
celu,1
każdym,14
dzięki,8
triumfu,2
gniew,2
pewnie,2
oświetlonej,1
chowa,4
cięcia,1
dziwacznymi,1
przyjeżdża,1
biegły,1
rozżarty,1
draperiami,1
chorą,3
kajetów,2
tektury,1
biegło,1
wariaci,1
kółka,2
przyciskał,1
kółko,1
wychował,1
porucznika,2
związać,1
krajem,1
zebrałem,1
ukrywał,1
otworzył,11
śmiertelny,2
biegła,1
gorączkę,1
ostała,1
wydając,3
błogi,1
wyprowadzono,1
zaufa,1
śmiertelna,1
grupy,2
zachmurzył,1
śmiertelne,2
malarz,2
przeciągały,1
srebrzystych,1
ksiądz,3
przyłączaj,1
obyci,1
papierowe,2
rozciągnięci,1
impetem,1
przeciskając,1
karabinu,1
papierowy,1
nocna,1
grupa,1
chciałbym,7
belkę,2
zbryzgane,1
sklepu,13
najświętsze,1
sroka,1
dworcu,1
dostrzegł,1
zdejmując,4
wejść,7
pewnej,2
chory,33
ruszyła,1
najmłodszym,1
krajał,1
amelka,1
nauczycielowi,10
przychodzą,7
pułkownik,1
pozostawali,1
mruczek,1
srogą,2
formy,1
zbożu,1
przeszkadzając,1
baretti,2
odprowadził,2
potknął,1
przyjęły,1
chore,1
chora,15
poprzedzany,1
operacji,2
czczę,2
omdlenia,1
konsula,4
jakbyście,1
piórkiem,3
niebezpieczeństwach,1
operacja,2
przesiadł,1
jarzynami,2
wonią,1
caottim,1
wysmukłego,1
stardim,1
zdjęło,1
chirurg,1
wleci,1
odejmować,1
szedł,28
przychodzi,14
wyżej,2
usiadł,9
miastu,1
porwali,1
czczą,1
miasto,10
dokoła,26
urosła,4
opatrzność,1
miasta,21
odejmował,1
ustami,2
całości,1
cierpliwością,2
znajdowała,1
sprzed,1
znajdowało,1
